1,Player_Id,Player_Name,Total_Score,Avg_Score
13,2,BB McCullum,3534.405373,38.41744971
14,14,P Kumar,1863,16.48672566
15,15,Z Khan,2171,24.67045455
16,16,SB Joshi,22.5,5.625
26,17,PA Patel,2782.351405,27.01312044
28,27,Yuvraj Singh,3563.825562,32.99838484
30,29,IK Pathan,4090.881066,40.10667712
31,31,YK Pathan,5034.674888,37.57220065
39,32,SR Watson,6483.819025,68.97679813
41,40,G Gambhir,5069.478749,38.40514204
45,42,S Dhawan,4447.848468,39.36149086
49,46,RV Uthappa,5472.985281,40.54063171
